kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,dram_bytes_source,flops_source,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
warp_shuffle,1,65536,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4192.0,0.15,0.1,48.59,,6400.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,1,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4064.0,3.31,7.97,46.77,,519552.0,193536.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,65536,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10144.0,15.43,3.46,49.3,,532096.0,589440.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,65536,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6272.0,0.19,0.05,49.2,,4480.0,570.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4064.0,3.43,8.25,46.75,,519552.0,193536.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,65536,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7200.0,17.48,4.75,49.14,,530816.0,1769664.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,65536,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5344.0,0.19,0.05,49.02,,4224.0,963.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4000.0,3.4,8.19,47.28,,519552.0,193536.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,1,131072,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6560.0,15.47,10.15,56.85,,1055104.0,2277504.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,1,131072,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4512.0,0.14,0.1,48.64,,6784.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,1,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4864.0,5.78,13.68,54.74,,1044352.0,390144.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,131072,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,15456.0,20.21,4.49,58.96,,1056768.0,1178880.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,131072,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6944.0,0.19,0.05,49.27,,4992.0,1146.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4800.0,5.77,13.82,54.31,,1044352.0,390144.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,131072,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10016.0,25.08,6.79,58.1,,1055232.0,3539328.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,131072,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5888.0,0.2,0.05,49.09,,4736.0,2307.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4960.0,5.86,13.98,54.47,,1044352.0,390144.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4960.0,2.54,1.76,47.51,,137344.0,284688.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4160.0,2.4,0.09,48.04,,5888.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,16,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2432.0,0.45,0.08,47.48,,2944.0,0.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,16,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9664.0,3.93,0.92,49.28,,138880.0,147360.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,16,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4128.0,1.74,0.07,47.87,,4224.0,48.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,16,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2432.0,0.43,0.07,47.48,,2944.0,0.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,16,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6880.0,4.38,1.25,49.12,,137600.0,442416.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,16,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3584.0,1.33,0.07,47.36,,3840.0,0.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,16,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2400.0,0.45,0.08,47.48,,2944.0,0.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4960.0,5.06,3.41,47.63,,268416.0,569376.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4160.0,2.47,0.09,47.92,,6016.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,16,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3776.0,1.23,2.31,47.15,,134272.0,49152.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,16,2048,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9664.0,7.8,1.75,49.31,,269952.0,294720.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,16,2048,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4320.0,2.01,0.07,48.05,,5504.0,192.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,16,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3808.0,1.23,2.29,47.37,,134272.0,49152.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,16,2048,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6944.0,8.89,2.47,49.13,,268672.0,884832.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,16,2048,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3904.0,1.87,0.07,47.77,,3968.0,48.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,16,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3872.0,1.2,2.23,46.89,,134272.0,49152.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,4096,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5184.0,9.92,6.61,47.6,,530560.0,1138752.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,4096,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4288.0,2.37,0.1,47.98,,6272.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,16,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3936.0,2.95,6.51,46.91,,396672.0,147456.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,16,4096,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9888.0,15.37,3.4,49.3,,532096.0,589440.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,16,4096,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4896.0,2.22,0.06,48.33,,4480.0,480.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,16,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3936.0,2.95,6.42,47.08,,396672.0,147456.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,16,4096,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7136.0,17.44,4.76,49.17,,530816.0,1769664.0,ncu,ncu,16.0,17536.0,1024.0,,
