kernel,D,L,chunk_size,time_ms,correct,throughput_GB_s_timing,sm_util_pct,dram_util_pct,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,dram_bytes,dram_bytes_source,flops,flops_source,ai_flop_per_byte,gflops,dram_bw_gb_s,bandwidth_util_pct,l1_hit_rate_pct,l2_hit_rate_pct,roofline_bound,roofline_limit_gflops,roofline_efficiency_pct,utilization_bound
hillis_steele,1,131072,1024,0.02496,1,63.015384,13.48947852760736,6.597193251533742,54.69434049079754,35.00437791411043,,18.0,17536.0,1024.0,2104320.0,ncu,3931779.0,ncu,1.8684320825729928,157.52319711538462,84.3076923076923,6.597193251533742,,,memory-bound,3809.7330163663323,4.134756856679368,compute-bound
warp_shuffle,16,1024,1024,0.013312,1,14.769231,2.049584487534626,0.8049307479224377,47.69454293628809,30.524507479224376,,22.0,17792.0,1024.0,146176.0,ncu,569376.0,ncu,3.8951401050788093,42.77163461538462,10.980769230769232,0.8049307479224377,,,memory-bound,7942.190674255692,0.5385369902289961,mixed
blelloch,16,1024,1024,0.016384,1,12.0,2.8481262327416177,0.576311637080868,48.65142011834319,31.136908875739643,,25.0,17536.0,1024.0,146048.0,ncu,147408.0,ncu,1.0093120070113935,8.9970703125,8.9140625,0.576311637080868,,,memory-bound,2057.9871822962314,0.43717815105443847,mixed
hillis_steele,16,1024,1024,0.014336,1,13.714286,2.7970398009950244,0.7029601990049751,48.3236815920398,30.92715621890547,,18.0,17536.0,1024.0,144384.0,ncu,442416.0,ncu,3.0641622340425534,30.860491071428573,10.071428571428571,0.7029601990049751,,,memory-bound,6247.826795212766,0.4939396062495621,mixed
warp_shuffle,16,2048,1024,0.017504,1,22.464352,3.103076923076923,2.0169478908188587,47.58300248138958,30.45312158808933,,22.0,17792.0,1024.0,408704.0,ncu,903216.0,ncu,2.2099514563106797,51.60054844606947,23.349177330895795,2.0169478908188587,,,memory-bound,4506.091019417476,1.1451288538938595,mixed
blelloch,16,2048,1024,0.024736,1,15.896507,4.987985611510791,1.457661870503597,48.58884892086331,31.09686330935252,,25.0,17536.0,1024.0,409728.0,ncu,344064.0,ncu,0.8397375820056232,13.909443725743854,16.5640362225097,1.457661870503597,,,memory-bound,1712.2249297094656,0.8123607759936098,mixed
hillis_steele,16,2048,1024,0.019008,1,20.686869,5.005369565217392,1.7703478260869565,48.18008695652175,30.83525565217392,,18.0,17536.0,1024.0,406912.0,ncu,934032.0,ncu,2.2954152249134947,49.138888888888886,21.407407407407405,1.7703478260869565,,,memory-bound,4680.351643598616,1.049897371623708,mixed
warp_shuffle,16,4096,1024,0.020768,1,37.867489,5.459355608591886,4.498687350835323,47.5189737470167,30.41214319809069,,22.0,17792.0,1024.0,933504.0,ncu,1570896.0,ncu,1.6827951460304402,75.6402157164869,44.949152542372886,4.498687350835323,,,memory-bound,3431.2193027560675,2.2044704532796904,mixed
blelloch,16,4096,1024,0.02592,1,30.340741,9.319384615384616,3.161435897435897,48.57953846153846,31.090904615384616,,25.0,17536.0,1024.0,933248.0,ncu,737376.0,ncu,0.7901179536414757,28.448148148148146,36.00493827160494,3.161435897435897,,,memory-bound,1611.050507474969,1.7658135493675793,compute-bound
hillis_steele,16,4096,1024,0.022144,1,35.514452,9.354318181818183,3.8214462809917356,48.26677685950413,30.890737190082643,,18.0,17536.0,1024.0,931712.0,ncu,1917360.0,ncu,2.0578891331226816,86.58598265895954,42.07514450867052,3.8214462809917356,,,memory-bound,4196.035942437148,2.0635186124899714,compute-bound
warp_shuffle,16,8192,1024,0.020224,1,77.772154,8.860405679513184,8.121399594320486,53.557079107505075,34.27653062880325,,22.0,17792.0,1024.0,1983104.0,ncu,2906256.0,ncu,1.4655086167946814,143.70332278481015,98.05696202531647,8.121399594320486,,,memory-bound,2988.1720696443554,4.809071212619739,mixed
blelloch,16,8192,1024,0.028704,1,54.795985,13.716454891994916,5.068551461245235,55.80487928843711,35.715122744599746,,25.0,17536.0,1024.0,1983232.0,ncu,1524000.0,ncu,0.7684426229508197,53.09364548494983,69.09253065774804,5.068551461245235,,,memory-bound,1566.8545081967213,3.388549811561944,compute-bound
hillis_steele,16,8192,1024,0.022112,1,71.131691,14.720794701986756,6.526324503311258,54.72384105960264,35.02325827814569,,18.0,17536.0,1024.0,1981696.0,ncu,3884208.0,ncu,1.9600423071954527,175.66063675832126,89.62083936324167,6.526324503311258,,,memory-bound,3996.526264371528,4.395332975146723,compute-bound
warp_shuffle,16,16384,1024,0.024128,1,130.376661,13.593828756058159,13.193021001615508,76.09347334410339,48.69982294022617,,22.0,17792.0,1024.0,4082304.0,ncu,5576976.0,ncu,1.3661344182108928,231.14124668435014,169.19363395225463,13.193021001615508,,,memory-bound,2785.5480787320103,8.297873170782474,mixed
blelloch,16,16384,1024,0.034016,1,92.477898,20.504723032069972,7.995481049562683,78.92269193391643,50.51052283770651,,25.0,17536.0,1024.0,4082560.0,ncu,3097248.0,ncu,0.7586533939488949,91.05268109125117,120.01881467544683,7.995481049562683,,,memory-bound,1546.8942702617967,5.886160602032704,compute-bound
hillis_steele,16,16384,1024,0.026944,1,116.750593,22.975935064935065,10.550935064935064,77.2549090909091,49.44314181818182,,18.0,17536.0,1024.0,4081536.0,ncu,7818288.0,ncu,1.9155259196537775,290.1680522565321,151.48218527315916,10.550935064935064,,,memory-bound,3905.757350174052,7.429239101184854,compute-bound
