kernel,D,L,phase1_time,phase2_time,phase3_time,other_time,total_time,phase1_pct,phase2_pct,phase3_pct,other_pct,phase1_launches,phase2_launches,phase3_launches,other_launches
warp_shuffle,64,4096,9088.0,4288.0,5152.0,0.0,18528.0,49.05008635578584,23.1433506044905,27.806563039723663,0.0,1,1,1,0
blelloch,64,4096,21280.0,4768.0,5280.0,0.0,31328.0,67.926455566905,15.219611848825332,16.853932584269664,0.0,1,1,1,0
hillis_steele,64,4096,13568.0,4544.0,5280.0,0.0,23392.0,58.00273597811218,19.425444596443228,22.571819425444595,0.0,1,1,1,0
warp_shuffle,64,8192,12160.0,4384.0,7680.0,0.0,24224.0,50.19815059445178,18.09775429326288,31.704095112285337,0.0,1,1,1,0
blelloch,64,8192,31840.0,5344.0,7616.0,0.0,44800.0,71.07142857142857,11.928571428571429,17.0,0.0,1,1,1,0
hillis_steele,64,8192,19520.0,4992.0,7456.0,0.0,31968.0,61.06106106106106,15.615615615615615,23.323323323323322,0.0,1,1,1,0
warp_shuffle,64,16384,19424.0,4480.0,11808.0,0.0,35712.0,54.39068100358423,12.544802867383513,33.064516129032256,0.0,1,1,1,0
blelloch,64,16384,58688.0,5664.0,11904.0,0.0,76256.0,76.96181284095678,7.427612253462023,15.6105749055812,0.0,1,1,1,0
hillis_steele,64,16384,34080.0,5248.0,11584.0,0.0,50912.0,66.93903205531113,10.307982401005656,22.752985543683216,0.0,1,1,1,0
warp_shuffle,64,32768,33312.0,4448.0,19296.0,0.0,57056.0,58.38474481211441,7.795849691531127,33.819405496354456,0.0,1,1,1,0
blelloch,64,32768,106688.0,6208.0,19200.0,0.0,132096.0,80.76550387596899,4.699612403100775,14.534883720930232,0.0,1,1,1,0
hillis_steele,64,32768,61312.0,5472.0,19232.0,0.0,86016.0,71.2797619047619,6.361607142857143,22.358630952380953,0.0,1,1,1,0
warp_shuffle,64,65536,63392.0,4512.0,42688.0,0.0,110592.0,57.320601851851855,4.079861111111111,38.59953703703704,0.0,1,1,1,0
blelloch,64,65536,210208.0,6464.0,42656.0,0.0,259328.0,81.05873642645606,2.4925962487660414,16.448667324777887,0.0,1,1,1,0
hillis_steele,64,65536,118272.0,5696.0,42496.0,0.0,166464.0,71.04959630911188,3.421760861207228,25.52864282968089,0.0,1,1,1,0
warp_shuffle,64,131072,121888.0,4480.0,90784.0,0.0,217152.0,56.13026819923372,2.06307102858827,41.80666077217801,0.0,1,1,1,0
blelloch,64,131072,411584.0,6912.0,91040.0,0.0,509536.0,80.77623563398858,1.3565282924072097,17.86723607360422,0.0,1,1,1,0
hillis_steele,64,131072,231264.0,6048.0,91264.0,0.0,328576.0,70.38371640046748,1.8406700428515776,27.775613556680952,0.0,1,1,1,0
warp_shuffle,256,1024,9056.0,6464.0,2816.0,0.0,18336.0,49.389179755671904,35.25305410122164,15.357766143106458,0.0,1,1,1,0
blelloch,256,1024,21120.0,5760.0,2848.0,0.0,29728.0,71.04413347685683,19.3756727664155,9.580193756727665,0.0,1,1,1,0
hillis_steele,256,1024,13504.0,5184.0,2880.0,0.0,21568.0,62.611275964391695,24.03560830860534,13.353115727002967,0.0,1,1,1,0
warp_shuffle,256,2048,12416.0,6336.0,6144.0,0.0,24896.0,49.87146529562982,25.44987146529563,24.67866323907455,0.0,1,1,1,0
blelloch,256,2048,31616.0,6784.0,6016.0,0.0,44416.0,71.18155619596541,15.27377521613833,13.544668587896254,0.0,1,1,1,0
hillis_steele,256,2048,19168.0,5888.0,6080.0,0.0,31136.0,61.56217882836588,18.91058581706064,19.527235354573484,0.0,1,1,1,0
warp_shuffle,256,4096,19296.0,6528.0,10272.0,0.0,36096.0,53.45744680851064,18.085106382978722,28.45744680851064,0.0,1,1,1,0
blelloch,256,4096,58272.0,7424.0,10400.0,0.0,76096.0,76.57695542472666,9.75609756097561,13.66694701429773,0.0,1,1,1,0
hillis_steele,256,4096,34112.0,6752.0,10464.0,0.0,51328.0,66.45885286783043,13.154613466334165,20.38653366583541,0.0,1,1,1,0
warp_shuffle,256,8192,33280.0,6592.0,17824.0,0.0,57696.0,57.681641708264,11.425402107598448,30.89295618413755,0.0,1,1,1,0
blelloch,256,8192,106752.0,8384.0,18112.0,0.0,133248.0,80.11527377521614,6.2920268972142175,13.592699327569644,0.0,1,1,1,0
hillis_steele,256,8192,61312.0,7424.0,17824.0,0.0,86560.0,70.83179297597043,8.576709796672828,20.591497227356747,0.0,1,1,1,0
warp_shuffle,256,16384,63360.0,6656.0,40384.0,0.0,110400.0,57.391304347826086,6.028985507246377,36.57971014492754,0.0,1,1,1,0
blelloch,256,16384,208736.0,9376.0,40224.0,0.0,258336.0,80.80019819150255,3.6293818902514556,15.570419918246005,0.0,1,1,1,0
hillis_steele,256,16384,119648.0,8320.0,40320.0,0.0,168288.0,71.09716676174178,4.943905685491538,23.958927552766685,0.0,1,1,1,0
warp_shuffle,256,32768,121760.0,6720.0,89120.0,0.0,217600.0,55.955882352941174,3.088235294117647,40.955882352941174,0.0,1,1,1,0
