kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
blelloch,1,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4128.0,3.35,,46.77,,,,16.0,1024.0,1024.0,,
hillis_steele,1,65536,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7232.0,17.19,,48.84,,,,16.0,17536.0,1024.0,,
hillis_steele,1,65536,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5344.0,0.19,,49.28,,,,18.0,17408.0,1024.0,,
hillis_steele,1,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4192.0,3.36,,46.35,,,,16.0,1024.0,1024.0,,
warp_shuffle,1,131072,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6752.0,15.14,,58.72,,,,20.0,17792.0,1024.0,,
warp_shuffle,1,131072,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4640.0,0.14,,46.3,,,,22.0,17664.0,1024.0,,
warp_shuffle,1,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4864.0,5.95,,53.86,,,,16.0,1024.0,1024.0,,
blelloch,1,131072,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,15296.0,20.21,,58.87,,,,25.0,17536.0,1024.0,,
blelloch,1,131072,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6976.0,0.19,,48.86,,,,20.0,17408.0,1024.0,,
blelloch,1,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4832.0,5.91,,53.99,,,,16.0,1024.0,1024.0,,
hillis_steele,1,131072,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9984.0,24.86,,58.1,,,,16.0,17536.0,1024.0,,
hillis_steele,1,131072,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5952.0,0.2,,48.97,,,,18.0,17408.0,1024.0,,
hillis_steele,1,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4800.0,5.75,,54.11,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5056.0,2.56,,47.18,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4352.0,2.47,,44.09,,,,22.0,17664.0,1024.0,,
