=== SSM PREFIX SCAN METRICS REPORT ===
timing_csv: Results/profile_run_colab_20260428_201442/timing.csv
raw_dir:    Results/profile_run_colab_20260428_201442/raw_ncu
out_dir:    Results/profile_run_colab_20260428_201442
peak_bw_gbs=2039.000 peak_fp32_gflops=19500.000

=== PERFORMANCE TABLES (time_ms) ===
D=1
L,warp_shuffle,blelloch,hillis_steele
1024,0.0154,0.0164,0.0133
warp_shuffle,256,1024,85.25,NA,20.79,NA,NA,54.56,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,1024,86.01,NA,24.74,NA,NA,55.05,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,1024,82.85,NA,27.52,NA,NA,53.02,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,2048,81.67,NA,25.79,NA,NA,52.27,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,2048,87.65,NA,31.83,NA,NA,56.10,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,2048,85.30,NA,37.19,NA,NA,54.59,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,4096,82.70,NA,31.77,NA,NA,52.93,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,4096,90.18,NA,36.42,NA,NA,57.71,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,4096,87.39,NA,44.74,NA,NA,55.93,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,8192,83.30,NA,37.52,NA,NA,53.31,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,8192,91.79,NA,40.89,NA,NA,58.75,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,8192,89.20,NA,52.04,NA,NA,57.09,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,16384,83.98,NA,38.29,NA,NA,53.75,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,16384,92.81,NA,41.66,NA,NA,59.40,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,16384,89.78,NA,53.52,NA,NA,57.46,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,32768,85.54,NA,37.98,NA,NA,54.75,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,32768,93.69,NA,41.80,NA,NA,59.96,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,32768,91.06,NA,53.77,NA,NA,58.28,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,65536,86.65,NA,37.65,NA,NA,55.46,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,65536,94.08,NA,41.78,NA,NA,60.21,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,65536,91.94,NA,53.80,NA,NA,58.84,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,256,131072,86.97,NA,37.60,NA,NA,55.66,22.00,1024.00,17792.00,NA,NA,NA
blelloch,256,131072,94.26,NA,41.84,NA,NA,60.33,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,256,131072,91.85,NA,53.81,NA,NA,58.79,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,1024,82.46,NA,32.17,NA,NA,52.78,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,1024,88.02,NA,34.25,NA,NA,56.33,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,1024,85.46,NA,39.73,NA,NA,54.69,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,2048,82.35,NA,34.80,NA,NA,52.71,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,2048,89.74,NA,37.48,NA,NA,57.43,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,2048,86.88,NA,46.43,NA,NA,55.60,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,4096,83.70,NA,39.22,NA,NA,53.57,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,4096,91.55,NA,41.40,NA,NA,58.59,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,4096,88.97,NA,53.01,NA,NA,56.94,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,8192,84.21,NA,39.60,NA,NA,53.89,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,8192,92.61,NA,42.29,NA,NA,59.27,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,8192,89.47,NA,54.44,NA,NA,57.26,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,16384,85.93,NA,38.69,NA,NA,54.99,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,16384,93.70,NA,42.10,NA,NA,59.97,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,16384,90.92,NA,54.17,NA,NA,58.19,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,32768,86.47,NA,37.97,NA,NA,55.34,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,32768,94.10,NA,41.95,NA,NA,60.22,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,32768,91.67,NA,53.96,NA,NA,58.67,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,65536,87.18,NA,37.70,NA,NA,55.80,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,65536,94.32,NA,41.97,NA,NA,60.37,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,65536,91.90,NA,53.94,NA,NA,58.82,18.00,1024.00,17536.00,NA,NA,NA
warp_shuffle,512,131072,86.64,NA,37.24,NA,NA,55.45,22.00,1024.00,17792.00,NA,NA,NA
blelloch,512,131072,94.24,NA,41.74,NA,NA,60.31,25.00,1024.00,17536.00,NA,NA,NA
hillis_steele,512,131072,91.92,NA,53.60,NA,NA,58.83,18.00,1024.00,17536.00,NA,NA,NA

=== PHASE BREAKDOWN (gpu_time_duration shares) ===
kernel,D,L,phase1_time,phase2_time,phase3_time,other_time,total_time,phase1_pct,phase2_pct,phase3_pct,other_pct
warp_shuffle,1,1024,5056.0000,4608.0000,2752.0000,0.0000,12416.0000,40.72,37.11,22.16,0.00
blelloch,1,1024,9664.0000,4288.0000,2784.0000,0.0000,16736.0000,57.74,25.62,16.63,0.00
hillis_steele,1,1024,6976.0000,3904.0000,2752.0000,0.0000,13632.0000,51.17,28.64,20.19,0.00
warp_shuffle,1,2048,4896.0000,4544.0000,3904.0000,0.0000,13344.0000,36.69,34.05,29.26,0.00
blelloch,1,2048,9728.0000,4672.0000,3680.0000,0.0000,18080.0000,53.81,25.84,20.35,0.00
hillis_steele,1,2048,6784.0000,4320.0000,3680.0000,0.0000,14784.0000,45.89,29.22,24.89,0.00
warp_shuffle,1,4096,4960.0000,4480.0000,3840.0000,0.0000,13280.0000,37.35,33.73,28.92,0.00
blelloch,1,4096,9568.0000,5120.0000,3744.0000,0.0000,18432.0000,51.91,27.78,20.31,0.00
hillis_steele,1,4096,6784.0000,4704.0000,3744.0000,0.0000,15232.0000,44.54,30.88,24.58,0.00
warp_shuffle,1,8192,5088.0000,4224.0000,3776.0000,0.0000,13088.0000,38.88,32.27,28.85,0.00
blelloch,1,8192,9760.0000,5056.0000,3808.0000,0.0000,18624.0000,52.41,27.15,20.45,0.00
